ＴＥＮパチスロ びんびん神様（中）デジタル                      ＮＡＭＥ 五十ＮＯ．／

              ファイル名               座標      サイズ                  備考
bkm_wi00.tim                      ( 14184)( 22 40)ＷＩＮランプ
bkm_wi01.tim                      ( 14184)( 22 40)ＷＩＮランプ
bkm_wi02.tim                      ( 14184)( 22 40)ＷＩＮランプ
bkm_wi03.tim                      ( 14184)( 22 40)ＷＩＮランプ
bkm_wi04.tim                      ( 14184)( 22 40)ＷＩＮランプ
bkm_wi05.tim                      ( 14184)( 22 40)ＷＩＮランプ
bkm_wi06.tim                      ( 14184)( 22 40)ＷＩＮランプ
bkm_wi07.tim                      ( 14184)( 22 40)ＷＩＮランプ
bkm_wi08.tim                      ( 14184)( 22 40)ＷＩＮランプ
bkm_wi09.tim                      ( 14184)( 22 40)ＷＩＮランプ
bkm_wi10.tim                      ( 14184)( 22 40)ＷＩＮランプ
bkm_wi11.tim                      ( 14184)( 22 40)ＷＩＮランプ
bkm_wi12.tim                      ( 14184)( 22 40)ＷＩＮランプ
bkm_wi13.tim                      ( 14184)( 22 40)ＷＩＮランプ
bkm_wi14.tim                      ( 14184)( 22 40)ＷＩＮランプ
bkm_wi15.tim                      ( 14184)( 22 40)ＷＩＮランプ
bkm_crr0.tim                      (287185)( 20 16)クレジットランプ１の桁
bkm_crr1.tim                      (287185)( 20 16)クレジットランプ１の桁
bkm_crr2.tim                      (287185)( 20 16)クレジットランプ１の桁
bkm_crr3.tim                      (287185)( 20 16)クレジットランプ１の桁
bkm_crr4.tim                      (287185)( 20 16)クレジットランプ１の桁
bkm_crr5.tim                      (287185)( 20 16)クレジットランプ１の桁
bkm_crr6.tim                      (287185)( 20 16)クレジットランプ１の桁
bkm_crr7.tim                      (287185)( 20 16)クレジットランプ１の桁
bkm_crr8.tim                      (287185)( 20 16)クレジットランプ１の桁
bkm_crr9.tim                      (287185)( 20 16)クレジットランプ１の桁
bkm_crl0.tim                      (287185)( 20 16)クレジットランプ１０の桁
bkm_crl1.tim                      (287185)( 20 16)クレジットランプ１０の桁
bkm_crl2.tim                      (287185)( 20 16)クレジットランプ１０の桁
bkm_crl3.tim                      (287185)( 20 16)クレジットランプ１０の桁
bkm_crl4.tim                      (287185)( 20 16)クレジットランプ１０の桁
bkm_crl5.tim                      (287185)( 20 16)クレジットランプ１０の桁






