ＴＥＮパチスロ びんびん神様（小）デジタル                      ＮＡＭＥ 五十ＮＯ．／

              ファイル名               座標      サイズ                  備考
bks_wi00.tim                      ( 19224)( 40 34)ＷＩＮランプ
bks_wi01.tim                      ( 19224)( 40 34)ＷＩＮランプ
bks_wi02.tim                      ( 19224)( 40 34)ＷＩＮランプ
bks_wi03.tim                      ( 19224)( 40 34)ＷＩＮランプ
bks_wi04.tim                      ( 19224)( 40 34)ＷＩＮランプ
bks_wi05.tim                      ( 19224)( 40 34)ＷＩＮランプ
bks_wi06.tim                      ( 19224)( 40 34)ＷＩＮランプ
bks_wi07.tim                      ( 19224)( 40 34)ＷＩＮランプ
bks_wi08.tim                      ( 19224)( 40 34)ＷＩＮランプ
bks_wi09.tim                      ( 19224)( 40 34)ＷＩＮランプ
bks_wi10.tim                      ( 19224)( 40 34)ＷＩＮランプ
bks_wi11.tim                      ( 19224)( 40 34)ＷＩＮランプ
bks_wi12.tim                      ( 19224)( 40 34)ＷＩＮランプ
bks_wi13.tim                      ( 19224)( 40 34)ＷＩＮランプ
bks_wi14.tim                      ( 19224)( 40 34)ＷＩＮランプ
bks_wi15.tim                      ( 19224)( 40 34)ＷＩＮランプ
bks_crr0.tim                      (265223)( 36 15)クレジットランプ１の桁
bks_crr1.tim                      (265223)( 36 15)クレジットランプ１の桁
bks_crr2.tim                      (265223)( 36 15)クレジットランプ１の桁
bks_crr3.tim                      (265223)( 36 15)クレジットランプ１の桁
bks_crr4.tim                      (265223)( 36 15)クレジットランプ１の桁
bks_crr5.tim                      (265223)( 36 15)クレジットランプ１の桁
bks_crr6.tim                      (265223)( 36 15)クレジットランプ１の桁
bks_crr7.tim                      (265223)( 36 15)クレジットランプ１の桁
bks_crr8.tim                      (265223)( 36 15)クレジットランプ１の桁
bks_crr9.tim                      (265223)( 36 15)クレジットランプ１の桁
bks_crl0.tim                      (265223)( 36 15)クレジットランプ１０の桁
bks_crl1.tim                      (265223)( 36 15)クレジットランプ１０の桁
bks_crl2.tim                      (265223)( 36 15)クレジットランプ１０の桁
bks_crl3.tim                      (265223)( 36 15)クレジットランプ１０の桁
bks_crl4.tim                      (265223)( 36 15)クレジットランプ１０の桁
bks_crl5.tim                      (265223)( 36 15)クレジットランプ１０の桁






