              cx    cy    px    py    w      h
BKS_COL1.TIM  576  500    853   296   19    18  

BKS_COR0.TIM  576  500    832   292   19    18  

BKS_CRL0.TIM  576  499    867   274   18    17  

BKS_CRR0.TIM  576  499    867   256   18    18  

BKS_GME1.TIM  576  500    844   310   6     14  

BKS_WI00.TIM  576  499    832   256   21    36  

BKM_COL1.TIM  576  501    853   314   12    15  

BKM_COR0.TIM  576  501    832   310   12    16  

BKM_CRL0.TIM  576  502    883   296   11    18  

BKM_CRR0.TIM  576  502    872   296   11    18  

BKM_GME1.TIM  576  501    885   256   7     16  

BKM_WI00.TIM  576  502    853   256   14    40  


